journal,issue,year,author.s.lastnames,title,link,variable,variety,language,variation.type,social.significance,production,production.details,perception,perception.details,metalinguistic.behaviors,metalinguistic.behaviors.details,overt.prestige.or.stigma,overt.prestige.or.stigma.details,data.source,coder.notes
LVC,1(1),1989,Poplack & Tagliamonte,There's no tense like the present: Verbal -s inflection in early Black English,https://doi.org/10.1017/S0954394500000119,verbal -s marking,Samaná English,English,omission,x,x,"""The only extralinguistic factor found to exert a consistent effect on -s usage in Samaná is access to formal instruction. Contrary to expectation, individuals who have had any schooling at all, and who are closely connected with church activities, are precisely the ones with most verbal -s presence in both concord and nonconcord contexts!""",not analyzed,NA,not analyzed,NA,x,"Education effect ""suggests that -s usage was a prestige marker in the dialect at an earlier point in time, as would be expected if it were associated with the speech of the white masters (whatever its affect in their variety), and that its ulterior movement towards an indicator of nonstandard speech in nonconcord contexts had not penetrated the language of the ancestors of the Samaná informants by the time they sailed for the Dominican Republic in 1824""",interviews,NA
LVC,1(1),1989,Poplack & Tagliamonte,There's no tense like the present: Verbal -s inflection in early Black English,https://doi.org/10.1017/S0954394500000119,verbal -s marking,early Black English,English,omission,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,Ex-Slave Recordings,NA
LVC,1(1),1989,Shi,The grammaticalization of the particle le in Mandarin Chinese,https://doi.org/10.1017/S0954394500000132,position of phase complement liao/le (after complement of verb vs. before complement of verb),Mandarin Chinese,Chinese,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,texts,NA
LVC,1(1),1989,Shi,The grammaticalization of the particle le in Mandarin Chinese,https://doi.org/10.1017/S0954394500000132,realization of phase complement (que vs. de vs. le),Mandarin Chinese,Chinese,form,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,texts,NA
LVC,1(2),1989,Pintzuk & Kroch,The rightward movement of complements and adjuncts in the Old English of Beowulf,https://doi.org/10.1017/S095439450000003X,heavy NP shift,Old English,English,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,poetic text (Beowulf),NA
LVC,1(2),1989,Pintzuk & Kroch,The rightward movement of complements and adjuncts in the Old English of Beowulf,https://doi.org/10.1017/S095439450000003X,PP extraposition,Old English,English,order,not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,poetic text (Beowulf),NA
LVC,1(3),1989,Kroch,Reflexes of grammar in patterns of language change,https://doi.org/10.1017/S0954394500000168,periphrastic do,late Middle English (1400-1700),English,"form, order",not analyzed,not analyzed,NA,not analyzed,NA,not analyzed,NA,not mentioned,NA,texts,NA
LVC,1(3),1989,"Bailey, Maynor, & Cukor-Avila",Variation in subject-verb concord in Early Modern English,https://doi.org/10.1017/S0954394500000193,"3rd singular and 3rd plural verbal endings (-s, -th, -0)",Early Modern English,English,"form, omission",x,x,age (older generation of Celys has only the -th and -0 inflections; -s appears in the younger generation alongside -th and -0; -s is expanding at the expense of -th across generations),not analyzed,NA,not analyzed,NA,not mentioned,NA,corpus (the Cely Letters),NA
LVC,1(3),1989,"Bailey, Maynor, & Cukor-Avila",Variation in subject-verb concord in Early Modern English,https://doi.org/10.1017/S0954394500000193,"use of is in the plural (vs. are, be/ben, beth(e))",Early Modern English,English,form,x,x,age (are was an innovation and was used only by the younger generation of writers),not analyzed,NA,not analyzed,NA,not mentioned,NA,corpus (the Cely Letters),NA
LVC,1(3),1989,"Bailey, Maynor, & Cukor-Avila",Variation in subject-verb concord in Early Modern English,https://doi.org/10.1017/S0954394500000193,verbal -s in the 3rd singular and 3rd plural,black folk speech and white folk speech,English,form,x,x,age and race in interaction (changes in progress),not analyzed,NA,not analyzed,NA,not mentioned,NA,sociolinguistic interviews,NA
